key,title,authorLastName,authorFirstName,,,,,,,,,,,,,,,,,,,,,,,,,
71,True France,Steen, Shiela,,,,,,,,,,,,,,,,,,,,,,,,,
72,Was it nothing to you?,Thompson, Edward,,,,,,,,,,,,,,,,,,,,,,,,,
73,Road 1940,Townsend Warner, Sylvia,,,,,,,,,,,,,,,,,,,,,,,,,
74,The Students and the Marshal,Townsend Warner, Sylvia,,,,,,,,,,,,,,,,,,,,,,,,,
75,Au Maquis,Townsend Warner, Sylvia,,,,,,,,,,,,,,,,,,,,,,,,,
76,Poem before the End of a War,Treece, Henry,,,,,,,,,,,,,,,,,,,,,,,,,
77,Victor and Vanquished,Treece, Henry,,,,,,,,,,,,,,,,,,,,,,,,,
78,France 1904-1940,Vansittart, Lord,,,,,,,,,,,,,,,,,,,,,,,,,
79,In Memoriam,Vansittart, Lord,,,,,,,,,,,,,,,,,,,,,,,,,
80,Lines from A Democrat's Chapbook,Whitehouse, Peggy,,,,,,,,,,,,,,,,,,,,,,,,,
81,Le Hâvre,Wilson, R.N.D.,,,,,,,,,,,,,,,,,,,,,,,,,
82,To Marianne,Zodiac',,,,,,,,,,,,,,,,,,,,,,,,,,
83,"July 14th, 1940",Zodiac',,,,,,,,,,,,,,,,,,,,,,,,,,
84,France,Winter Were, Mary,,,,,,,,,,,,,,,,,,,,,,,,,
85,I am thinking of France,Ackland,Valentine,,,,,,,,,,,,,,,,,,,,,,,,,
86,Ballad of Toulon,Arundel,Honor,,,,,,,,,,,,,,,,,,,,,,,,,
87,Paris 1942,Arundel,Honor,,,,,,,,,,,,,,,,,,,,,,,,,
88,Gabriel Péri,Geering,Ken,,,,,,,,,,,,,,,,,,,,,,,,,
89,La Mére,Cawdor,Wilma,,,,,,,,,,,,,,,,,,,,,,,,,
90,The Mind of Man,Gawsworth,John,,,,,,,,,,,,,,,,,,,,,,,,,
91,Marlow Hill,Gawsworth,John,,,,,,,,,,,,,,,,,,,,,,,,,
92,The Poet To His Wars,Cunard,Nancy,,,,,,,,,,,,,,,,,,,,,,,,,
93,Colloque Sentimental,Verlaine,Paul,,,,,,,,,,,,,,,,,,,,,,,,,
94,The Dark Take-off,Pudney,John,,,,,,,,,,,,,,,,,,,,,,,,,
95,Prayer,Ross,Alan,,,,,,,,,,,,,,,,,,,,,,,,,
96,Channel: Autumn,Ross,Alan,,,,,,,,,,,,,,,,,,,,,,,,,
97,The One Immortal,Beeching,Jack,,,,,,,,,,,,,,,,,,,,,,,,,
98,Soon,Beeching,Jack,,,,,,,,,,,,,,,,,,,,,,,,,
99,Dregs,Beeching,Jack,,,,,,,,,,,,,,,,,,,,,,,,,
100,Chanson d'Autumne,Bowen,Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
101,To a Little French Girl,Bowen,Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
102,To a French Youth,Bowen,Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
103,Stars over the Dordogne,Plath,Sylvia,,,,,,,,,,,,,,,,,,,,,,,,,
104,Yesterday's Impossibilities,Hutcheson,William,,,,,,,,,,,,,,,,,,,,,,,,,
105,Blitz Lullaby for a French-Scot,Lord,Mrs. Douglas,,,,,,,,,,,,,,,,,,,,,,,,,
106,Crevecoeur,Aragon,Louis,,,,,,,,,,,,,,,,,,,,,,,,,
107,Les Yeux d'Else,Aragon,Louis,,,,,,,,,,,,,,,,,,,,,,,,,
108,Azure,Meyerstein,E.H.W,,,,,,,,,,,,,,,,,,,,,,,,,
109,Ode to France,Morgan,Charles,,,,,,,,,,,,,,,,,,,,,,,,,
